Instrument,Sales,AV_kept,AV_repro,EPV,MktCap,Fr_kept,Fr_repro,EPVoverAV_kept,EPVoverAV_repro,MktCap_over_EPV,AVrepro_over_MktCap,ROICm7,WACC,CoreMoat,CompanyMoat
YSNG.DE,518619365.043389,321884394.31684405,343932231.706454,1042929854.3924904,1415383531.23569,721045460.0756464,698997622.6860363,3.240075855823851,3.0323702120557012,1.3571224615678061,0.2429957846168992,0.2607792287,0.07,9.15,8.15
SMWB.N,282600000.0,491419340.51196206,532893367.06923497,563137441.5173025,651346892.98,71718101.00534046,30244074.448067546,1.145940737559544,1.0567544584283373,1.1566392943524202,0.8181406448892016,0.1169375601,0.08,5.9,5.3
ANODb.ST,592882007.122772,818905025.9964385,204992388.4821068,1782339243.7508178,1438412230.74247,963434217.7543793,1577346855.268711,2.1764907860738534,8.694660601539326,0.8070361665355157,0.14251296262705943,0.1122327708,0.05754690556483552,8.35,7.05
MUMG.DE,269674039.147213,422179836.5479235,374133210.0734091,911137346.1280069,905359086.947841,488957509.58008343,537004136.0545979,2.158173525240303,2.435328705380716,0.9936581908263102,0.4132428949652365,0.2213017016,0.07,7.75,6.65
AOFG.DE,213917932.654039,292320235.6249698,315292869.84044003,1330514784.160681,2155883383.01446,1038194548.5357113,1015221914.320241,4.551565789881395,4.2199329938352665,1.6203377885608692,0.14624764601115964,0.7063460419,0.07,8.4,7.75
APP.OQ,5480717000.0,4780780386.470306,2502052614.954237,40613810314.35732,227962065660.0,35833029927.88702,38111757699.40308,8.49522609934042,16.232196745830684,5.612919937714229,0.010975741107233117,0.1517493862,0.06969385775855508,7.7,7.35
058970.KQ,59132158.7351303,106246925.30418928,73575553.80998588,77371673.46200982,320462019.909615,-28875251.842179462,3796119.6520239413,0.7282250591298671,1.0515948498577081,4.141851992731742,0.22959211775154373,0.3521926122,0.07400000000000001,7.55,6.95
NOW.N,13278000000.0,28451050280.153027,20216339695.12155,54715151587.059166,160266870941.1,26264101306.90614,34498811891.937614,1.923132926492613,2.7064816090453108,2.92911316687287,0.12614172583772038,0.2355633883,0.07,8.7,7.85
012510.KS,314248168.337216,592511821.716635,740920054.6540436,1128830130.3617218,1870529326.97447,536318308.64508677,387910075.7076782,1.905160519989722,1.5235518640250658,1.657051204307488,0.39610181138002337,0.1627355043,0.07271793660724604,8.0,7.3
064400.KS,4315932839.44646,2695823780.9048038,3226945065.0412173,4830008552.269121,4129646588.49991,2134184771.3643174,1603063487.2279038,1.7916633076988502,1.49677433452293,0.8549977797782193,0.7814094973713966,0.0,0.07400000000000001,6.9,5.95
ALRM.OQ,1011187000.0,2096514330.7413852,2159465280.5152593,3341199313.3390126,2532159028.28,1244684982.5976274,1181734032.8237534,1.593692570733572,1.5472345600952593,0.7578593166145178,0.8528158209644923,0.0639840691,0.06822480991352206,7.15,6.35
ALSTW.PA,29717754.2668231,34275487.81140143,35167020.43940612,-92456268.97768371,239820008.221463,-126731756.78908513,-127623289.41708982,-2.6974457515066783,-2.6290617693070915,,0.14663922622724188,-0.015179918,0.07300000000000001,6.85,6.75
NET.N,2167937000.0,4229622422.0122232,5839237883.222076,6470078561.385693,69374522050.0,2240456139.3734694,630840678.1636162,1.529705944368335,1.1080347625460192,10.722361620774834,0.0841697745897779,0.05553227600000001,0.06977841604622698,7.9,7.2
NEKG.DE,1346445300.8815,2480020475.9881353,901243636.5707018,5183468687.847623,12588703710.2287,2703448211.8594875,4282225051.2769213,2.0900910851481296,5.751462176832783,2.428625399000147,0.07159145669926398,0.09123527320000001,0.07,8.1,7.3
MSABb.ST,47262715.4996196,41547375.392810285,36290618.31013068,113240973.59752199,129216653.984129,71693598.2047117,76950355.2873913,2.7255866953540027,3.120392511083513,1.1410768547733203,0.28085093671120803,-0.1820280837,0.07,7.3,6.9
LMN.V,765660000.0,1325908224.915,724834248.4345922,4760624062.045284,5074815892.10143,3434715837.1302843,4035789813.610692,3.5904627278034074,6.567879583955496,1.0659980342831694,0.14282966394165006,0.0,0.07,7.95,7.8
LIF.OQ,489481000.0,1167676899.8342094,838828763.7862501,1746182929.637408,5326168191.96615,578506029.8031986,907354165.8511579,1.4954333085507958,2.0816917647835567,3.050177677015844,0.15749197801367162,0.0604979635,0.06902532672028003,7.1,6.55
CLBT.OQ,475675000.0,1121882050.6126251,966838618.30183,2043880285.5073864,4481916187.26,921998234.8947613,1077041667.2055564,1.8218317018186418,2.1139828786496846,2.192846723479883,0.215719923779499,0.0,0.08,8.5,7.65
AUR.OQ,3000000.0,4595554923.412708,3643644923.4127088,-6869577653.175348,7431824601.6,-11465132576.588057,-10513222576.588057,-1.4948309328602096,-1.8853586992063893,,0.4902759576199184,0.0,0.07,6.2,4.95
KXS.TO,548030000.0,990202618.8087533,909769141.4815173,1860041402.233329,3526291865.9283,869838783.4245758,950272260.7518117,1.8784452463587915,2.044520216639066,1.8958136424782395,0.25799598447079186,0.1165803726,0.07,7.75,7.4
CSU.TO,11623000000.0,16917243481.157463,11584717696.452076,56985387564.16928,101955285837.948,40068144083.01182,45400669867.71721,3.3684794823482904,4.919013916206311,1.789147888537911,0.11362547415996961,0.1795704758,0.06787165711260111,9.05,8.3
KVYO.N,1234019000.0,2768597002.476042,2826097616.1139736,3758030802.6940145,9877374000.0,989433800.2179728,931933186.5800409,1.357377328420529,1.3297597299068162,2.6283376902922724,0.28611831607408744,0.0,0.07,7.15,6.2
3788.T,138254081.095707,227566133.80141163,204727225.75231653,194454365.35842866,175786881.583147,-33111768.44298297,-10272860.393887877,0.8544960627934279,0.9498217183565208,0.9040006957885838,1.1646331279588733,-0.0013770106,0.07400000000000001,7.6,6.5
CHKP.OQ,2725400000.0,6172496181.054455,3789783525.638896,12069385872.235514,19920742214.32,5896889691.181059,8279602346.596618,1.955349265226064,3.184716433163768,1.6505182968874823,0.1902430885790297,0.0586022232,0.08,7.85,7.15
KTN.DE,1816679142.13981,2273741653.7738557,2051315150.5016687,3487464850.0828304,,1213723196.3089747,1436149699.5811617,1.5337999566901062,1.7001116816350417,,,0.0661289334,0.06463928355930128,8.7,6.0
IXXG.DE,372625961.010872,334106906.62752676,20866766.69764951,534035617.20735204,,199928710.57982528,513168850.50970256,1.5983974189516301,25.59263852159268,,,0.3192777481,0.06517174964915326,8.75,7.95
IVUG.DE,169227984.513493,296280684.0334892,272654447.800434,530072107.5035257,,233791423.47003645,257417659.70309168,1.7890876323331646,1.9441168547945542,,,0.2400074724,0.07,8.3,7.6
3673.T,139220820.77605,373256292.13250643,215208663.66975042,283980763.3428584,461830419.40632,-89275528.78964806,68772099.67310795,0.7608197619935764,1.3195600888012693,1.6262736037818817,0.4659906637297729,-0.3197507688,0.0735254798695974,7.9,7.0
APPF.OQ,950822000.0,1380272364.4402509,1158546966.9324653,3473726528.8615417,8357106730.5,2093454164.4212909,2315179561.929076,2.5166964277157433,2.998347609557062,2.4058044469145092,0.13863015087557104,0.2213020036,0.07,8.05,7.25
SPSC.OQ,751505000.0,1605662187.7742496,1012010166.8978812,2639460448.703409,3361011548.22,1033798260.9291596,1627450281.8055282,1.643845429506065,2.608136296490141,1.2733706806900784,0.3011028532269829,0.1461341209,0.07,8.45,7.55
4493.T,34008302.0919045,15574226.974088669,16594476.036845803,-26194876.35559311,118930256.571976,-41769103.329681784,-42789352.39243892,-1.6819374983538091,-1.5785298853323786,,0.13953115477223332,0.08859083870000001,0.07400000000000001,7.5,6.8
3663.T,63349995.1047367,71406119.14903419,67234521.97057714,232917093.18212044,386213394.446218,161510974.03308624,165682571.21154332,3.2618646126950424,3.4642485192956167,1.6581582277614701,0.1740864582570552,0.1071783424,0.07400000000000001,7.45,6.75
MANH.OQ,1081392000.0,1119581156.7217686,1129295639.5629568,3892631052.2709846,10371787383.21,2773049895.5492163,2763335412.708028,3.476863672544247,3.4469548237850742,2.6644671030816123,0.10888148762006798,0.447442486,0.07,8.1,7.5
ASEP.WA,479982738.474196,442249835.8247344,354128520.1251724,734147437.4419565,,291897601.61722213,380018917.31678414,1.660028739350177,2.0731101724946086,,,0.2910978291,0.06963224377198923,7.7,6.45
LWSA3.SA,266613494.341187,619854893.3983663,331037176.1450195,906412886.2899565,417358184.028382,286557992.8915901,575375710.144937,1.462298508801843,2.7380999827429613,0.4604504087940244,0.7931728400526767,0.0606937645,0.1,6.25,5.75
CRWV.OQ,5131000000.0,5511141477.5,29382853944.61051,3421966598.925476,35725272693.8651,-2089174878.574524,-25960887345.685036,0.6209179373993808,0.11646134188925998,10.43998287566077,0.8224668904950379,0.0,0.07,5.6,5.4
